"STATISTIC","STATISTIC Label","TLIST(M1)","Month","DIRECT","Direction","TYPASS","Type of Passenger Movement","UNIT","VALUE"
"TRBM1","Passenger Movement","196101","1961M01","01","Arriving in Eire","01","Passenger Movement by Sea to All Countries","Number","20102"
"TRBM1","Passenger Movement","196101","1961M01","01","Arriving in Eire","011","Passenger Movement by Sea to Great Britain","Number","19963"
"TRBM1","Passenger Movement","196101","1961M01","01","Arriving in Eire","012","Passenger Movement by Sea to Countries Other Than Great Britain","Number","139"
"TRBM1","Passenger Movement","196101","1961M01","01","Arriving in Eire","02","Passenger Movement Cross-Border Rail","Number","10344"
"TRBM1","Passenger Movement","196101","1961M01","01","Arriving in Eire","03","Passenger Movement Cross-Border Bus","Number","40063"
"TRBM1","Passenger Movement","196101","1961M01","01","Arriving in Eire","04","Passenger Movement by Air from All Airports","Number","18098"
"TRBM1","Passenger Movement","196101","1961M01","01","Arriving in Eire","041","Passenger Movement by Air from Dublin Airport","Number","16762"
"TRBM1","Passenger Movement","196101","1961M01","01","Arriving in Eire","042","Passenger Movement by Air from Cork Airport","Number","0"
"TRBM1","Passenger Movement","196101","1961M01","01","Arriving in Eire","043","Passenger Movement by Air from Shannon Airport","Number","1336"
"TRBM1","Passenger Movement","196101","1961M01","01","Arriving in Eire","0431","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","747"
"TRBM1","Passenger Movement","196101","1961M01","01","Arriving in Eire","0432","Passenger Movement by Air from Shannon Airport (Westbound)","Number","589"
"TRBM1","Passenger Movement","196101","1961M01","02","Departing Eire","01","Passenger Movement by Sea to All Countries","Number","44076"
"TRBM1","Passenger Movement","196101","1961M01","02","Departing Eire","011","Passenger Movement by Sea to Great Britain","Number","43860"
"TRBM1","Passenger Movement","196101","1961M01","02","Departing Eire","012","Passenger Movement by Sea to Countries Other Than Great Britain","Number","216"
"TRBM1","Passenger Movement","196101","1961M01","02","Departing Eire","02","Passenger Movement Cross-Border Rail","Number","9967"
"TRBM1","Passenger Movement","196101","1961M01","02","Departing Eire","03","Passenger Movement Cross-Border Bus","Number","40137"
"TRBM1","Passenger Movement","196101","1961M01","02","Departing Eire","04","Passenger Movement by Air from All Airports","Number","27496"
"TRBM1","Passenger Movement","196101","1961M01","02","Departing Eire","041","Passenger Movement by Air from Dublin Airport","Number","24166"
"TRBM1","Passenger Movement","196101","1961M01","02","Departing Eire","042","Passenger Movement by Air from Cork Airport","Number","0"
"TRBM1","Passenger Movement","196101","1961M01","02","Departing Eire","043","Passenger Movement by Air from Shannon Airport","Number","3330"
"TRBM1","Passenger Movement","196101","1961M01","02","Departing Eire","0431","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","779"
"TRBM1","Passenger Movement","196101","1961M01","02","Departing Eire","0432","Passenger Movement by Air from Shannon Airport (Westbound)","Number","2551"
"TRBM1","Passenger Movement","196102","1961M02","01","Arriving in Eire","01","Passenger Movement by Sea to All Countries","Number","19157"
"TRBM1","Passenger Movement","196102","1961M02","01","Arriving in Eire","011","Passenger Movement by Sea to Great Britain","Number","19079"
"TRBM1","Passenger Movement","196102","1961M02","01","Arriving in Eire","012","Passenger Movement by Sea to Countries Other Than Great Britain","Number","78"
"TRBM1","Passenger Movement","196102","1961M02","01","Arriving in Eire","02","Passenger Movement Cross-Border Rail","Number","10013"
"TRBM1","Passenger Movement","196102","1961M02","01","Arriving in Eire","03","Passenger Movement Cross-Border Bus","Number","37184"
"TRBM1","Passenger Movement","196102","1961M02","01","Arriving in Eire","04","Passenger Movement by Air from All Airports","Number","17250"
"TRBM1","Passenger Movement","196102","1961M02","01","Arriving in Eire","041","Passenger Movement by Air from Dublin Airport","Number","15964"
"TRBM1","Passenger Movement","196102","1961M02","01","Arriving in Eire","042","Passenger Movement by Air from Cork Airport","Number","0"
"TRBM1","Passenger Movement","196102","1961M02","01","Arriving in Eire","043","Passenger Movement by Air from Shannon Airport","Number","1286"
"TRBM1","Passenger Movement","196102","1961M02","01","Arriving in Eire","0431","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","754"
"TRBM1","Passenger Movement","196102","1961M02","01","Arriving in Eire","0432","Passenger Movement by Air from Shannon Airport (Westbound)","Number","532"
"TRBM1","Passenger Movement","196102","1961M02","02","Departing Eire","01","Passenger Movement by Sea to All Countries","Number","22006"
"TRBM1","Passenger Movement","196102","1961M02","02","Departing Eire","011","Passenger Movement by Sea to Great Britain","Number","21835"
"TRBM1","Passenger Movement","196102","1961M02","02","Departing Eire","012","Passenger Movement by Sea to Countries Other Than Great Britain","Number","171"
"TRBM1","Passenger Movement","196102","1961M02","02","Departing Eire","02","Passenger Movement Cross-Border Rail","Number","9944"
"TRBM1","Passenger Movement","196102","1961M02","02","Departing Eire","03","Passenger Movement Cross-Border Bus","Number","36091"
"TRBM1","Passenger Movement","196102","1961M02","02","Departing Eire","04","Passenger Movement by Air from All Airports","Number","18533"
"TRBM1","Passenger Movement","196102","1961M02","02","Departing Eire","041","Passenger Movement by Air from Dublin Airport","Number","16552"
